timeAt,seconds
2023-01-14T21:26:25.448Z,1.322
2023-01-14T21:26:26.759Z,1.322
2023-01-14T21:26:28.073Z,1.323
2023-01-14T21:26:29.384Z,1.323
2023-01-14T21:26:30.697Z,1.324
2023-01-14T21:26:32.025Z,1.341
2023-01-14T21:26:33.345Z,1.341
2023-01-14T21:26:34.657Z,1.323
2023-01-14T21:26:35.974Z,1.33
2023-01-14T21:26:37.289Z,1.323
2023-01-14T21:26:38.599Z,1.321
2023-01-14T21:26:39.906Z,1.318
2023-01-14T21:26:41.218Z,1.324
2023-01-14T21:26:42.535Z,1.327
2023-01-14T21:26:43.841Z,1.318
2023-01-14T21:26:45.022Z,1.189
2023-01-14T21:26:46.345Z,1.338
2023-01-14T21:26:47.661Z,1.327
2023-01-14T21:26:48.968Z,1.321
2023-01-14T21:26:50.282Z,1.324
2023-01-14T21:26:51.590Z,1.321
2023-01-14T21:26:52.901Z,1.321
2023-01-14T21:26:54.212Z,1.324
2023-01-14T21:26:55.529Z,1.327
2023-01-14T21:26:56.836Z,1.32
2023-01-14T21:26:58.153Z,1.328
2023-01-14T21:26:59.463Z,1.322
2023-01-14T21:27:00.770Z,1.319
2023-01-14T21:27:02.082Z,1.324
2023-01-14T21:27:03.394Z,1.324
2023-01-14T21:27:04.702Z,1.319
2023-01-14T21:27:06.017Z,1.328
2023-01-14T21:27:07.328Z,1.323
2023-01-14T21:27:08.639Z,1.324
2023-01-14T21:27:09.955Z,1.328
2023-01-14T21:27:11.271Z,1.327
2023-01-14T21:27:12.585Z,1.329
2023-01-14T21:27:13.902Z,1.329
2023-01-14T21:27:15.211Z,1.322
2023-01-14T21:27:16.516Z,1.316
2023-01-14T21:27:17.827Z,1.322
2023-01-14T21:27:19.141Z,1.329
2023-01-14T21:27:20.451Z,1.319
2023-01-14T21:27:21.762Z,1.325
2023-01-14T21:27:23.077Z,1.326
2023-01-14T21:27:24.383Z,1.319
2023-01-14T21:27:25.690Z,1.316
2023-01-14T21:27:26.999Z,1.321
2023-01-14T21:27:28.304Z,1.317
2023-01-14T21:27:29.611Z,1.317
2023-01-14T21:27:30.918Z,1.32
2023-01-14T21:27:32.232Z,1.324
2023-01-14T21:27:33.549Z,1.33
2023-01-14T21:27:34.868Z,1.332
2023-01-14T21:27:36.185Z,1.331
2023-01-14T21:27:37.494Z,1.322
2023-01-14T21:27:38.799Z,1.318
2023-01-14T21:27:40.109Z,1.319
2023-01-14T21:27:41.420Z,1.324
2023-01-14T21:27:42.730Z,1.319
2023-01-14T21:27:44.048Z,1.33
2023-01-14T21:27:45.361Z,1.32
2023-01-14T21:27:46.671Z,1.324
2023-01-14T21:27:47.982Z,1.323
2023-01-14T21:27:49.298Z,1.328
2023-01-14T21:27:50.618Z,1.331
2023-01-14T21:27:51.930Z,1.324
2023-01-14T21:27:53.242Z,1.323
2023-01-14T21:27:54.554Z,1.324
2023-01-14T21:27:55.864Z,1.322
2023-01-14T21:27:57.183Z,1.332
2023-01-14T21:27:58.495Z,1.324
2023-01-14T21:27:59.815Z,1.332
2023-01-14T21:28:01.124Z,1.321
2023-01-14T21:28:02.426Z,1.314
2023-01-14T21:28:03.741Z,1.325
2023-01-14T21:28:05.053Z,1.325
2023-01-14T21:28:06.363Z,1.322
2023-01-14T21:28:07.675Z,1.324
2023-01-14T21:28:08.986Z,1.324
2023-01-14T21:28:10.296Z,1.32
2023-01-14T21:28:11.607Z,1.323
2023-01-14T21:28:12.921Z,1.324
2023-01-14T21:28:14.232Z,1.325
2023-01-14T21:28:15.551Z,1.329
2023-01-14T21:28:16.862Z,1.324
2023-01-14T21:28:18.170Z,1.317
2023-01-14T21:28:19.485Z,1.325
2023-01-14T21:28:20.805Z,1.329
2023-01-14T21:28:22.117Z,1.324
2023-01-14T21:28:23.431Z,1.327
2023-01-14T21:28:24.741Z,1.322
2023-01-14T21:28:26.053Z,1.323
2023-01-14T21:28:27.364Z,1.322
2023-01-14T21:28:28.677Z,1.322
2023-01-14T21:28:29.983Z,1.319
2023-01-14T21:28:31.165Z,1.191
2023-01-14T21:28:32.476Z,1.325
2023-01-14T21:28:33.788Z,1.323
2023-01-14T21:28:35.099Z,1.323
2023-01-14T21:28:36.411Z,1.324
2023-01-14T21:28:37.725Z,1.324
2023-01-14T21:28:39.030Z,1.317
2023-01-14T21:28:40.343Z,1.322
2023-01-14T21:28:41.649Z,1.317
2023-01-14T21:28:42.967Z,1.328
2023-01-14T21:28:44.278Z,1.323
2023-01-14T21:28:45.594Z,1.327
2023-01-14T21:28:46.902Z,1.323
2023-01-14T21:28:48.217Z,1.323
2023-01-14T21:28:49.527Z,1.323
2023-01-14T21:28:50.843Z,1.328
2023-01-14T21:28:52.154Z,1.322
2023-01-14T21:28:53.464Z,1.32
2023-01-14T21:28:54.770Z,1.317
2023-01-14T21:28:55.944Z,1.183
2023-01-14T21:28:57.120Z,1.187
2023-01-14T21:28:58.302Z,1.192
2023-01-14T21:28:59.474Z,1.182
2023-01-14T21:29:00.646Z,1.183
2023-01-14T21:29:01.953Z,1.316
2023-01-14T21:29:03.261Z,1.319
2023-01-14T21:29:04.566Z,1.315
2023-01-14T21:29:05.874Z,1.317
2023-01-14T21:29:07.184Z,1.32
2023-01-14T21:29:08.497Z,1.323
2023-01-14T21:29:09.811Z,1.328
2023-01-14T21:29:11.119Z,1.319
2023-01-14T21:29:12.431Z,1.326
2023-01-14T21:29:13.737Z,1.318
2023-01-14T21:29:15.051Z,1.325
2023-01-14T21:29:16.357Z,1.316
2023-01-14T21:29:17.666Z,1.319
2023-01-14T21:29:18.976Z,1.323
2023-01-14T21:29:20.293Z,1.327
2023-01-14T21:29:21.609Z,1.327
2023-01-14T21:29:22.921Z,1.322
2023-01-14T21:29:24.228Z,1.317
2023-01-14T21:29:25.541Z,1.324
2023-01-14T21:29:26.851Z,1.329
2023-01-14T21:29:28.162Z,1.321
2023-01-14T21:29:29.471Z,1.321
2023-01-14T21:29:30.780Z,1.321
2023-01-14T21:29:32.094Z,1.326
2023-01-14T21:29:33.401Z,1.317
2023-01-14T21:29:34.844Z,1.454
2023-01-14T21:29:36.029Z,1.331
2023-01-14T21:29:37.339Z,1.321
2023-01-14T21:29:38.646Z,1.32
2023-01-14T21:29:39.954Z,1.314
2023-01-14T21:29:41.261Z,1.318
2023-01-14T21:29:42.573Z,1.324
2023-01-14T21:29:43.885Z,1.322
2023-01-14T21:29:45.198Z,1.327
2023-01-14T21:29:46.506Z,1.322
2023-01-14T21:29:47.817Z,1.321
2023-01-14T21:29:49.129Z,1.322
2023-01-14T21:29:50.447Z,1.331
2023-01-14T21:29:51.759Z,1.325
2023-01-14T21:29:52.940Z,1.194
2023-01-14T21:29:54.250Z,1.32
2023-01-14T21:29:55.559Z,1.321
2023-01-14T21:29:56.878Z,1.328
2023-01-14T21:29:58.198Z,1.332
2023-01-14T21:29:59.514Z,1.328
2023-01-14T21:30:00.827Z,1.32
2023-01-14T21:30:02.139Z,1.324
2023-01-14T21:30:03.452Z,1.326
2023-01-14T21:30:04.760Z,1.32
2023-01-14T21:30:06.070Z,1.32
2023-01-14T21:30:07.386Z,1.326
2023-01-14T21:30:08.693Z,1.318
2023-01-14T21:30:10.002Z,1.32
2023-01-14T21:30:11.324Z,1.332
2023-01-14T21:30:12.640Z,1.327
2023-01-14T21:30:13.948Z,1.321
2023-01-14T21:30:15.260Z,1.323
2023-01-14T21:30:16.580Z,1.332
2023-01-14T21:30:17.891Z,1.324
2023-01-14T21:30:19.198Z,1.317
2023-01-14T21:30:20.517Z,1.331
2023-01-14T21:30:21.831Z,1.326
2023-01-14T21:30:23.142Z,1.321
2023-01-14T21:30:24.459Z,1.327
2023-01-14T21:30:25.768Z,1.322
2023-01-14T21:30:27.079Z,1.323
2023-01-14T21:30:28.391Z,1.324
2023-01-14T21:30:29.704Z,1.324
2023-01-14T21:30:31.016Z,1.323
2023-01-14T21:30:32.323Z,1.318
2023-01-14T21:30:33.629Z,1.317
2023-01-14T21:30:34.942Z,1.324
2023-01-14T21:30:36.253Z,1.322
2023-01-14T21:30:37.561Z,1.321
2023-01-14T21:30:38.871Z,1.319
2023-01-14T21:30:40.195Z,1.336
2023-01-14T21:30:41.517Z,1.338
2023-01-14T21:30:42.828Z,1.323
2023-01-14T21:30:44.142Z,1.328
2023-01-14T21:30:45.452Z,1.319
2023-01-14T21:30:46.762Z,1.323
2023-01-14T21:30:48.077Z,1.326
2023-01-14T21:30:49.393Z,1.33
2023-01-14T21:30:50.713Z,1.33
2023-01-14T21:30:52.025Z,1.327
2023-01-14T21:30:53.341Z,1.33
2023-01-14T21:30:54.657Z,1.328
2023-01-14T21:30:55.968Z,1.324
2023-01-14T21:30:57.282Z,1.325
2023-01-14T21:30:58.590Z,1.324
2023-01-14T21:30:59.907Z,1.33
2023-01-14T21:31:01.224Z,1.331
2023-01-14T21:31:02.534Z,1.321
2023-01-14T21:31:03.711Z,1.188
2023-01-14T21:31:05.024Z,1.325
2023-01-14T21:31:06.337Z,1.326
2023-01-14T21:31:07.643Z,1.322
2023-01-14T21:31:08.951Z,1.317
2023-01-14T21:31:10.259Z,1.32
2023-01-14T21:31:11.431Z,1.183
2023-01-14T21:31:12.739Z,1.317
2023-01-14T21:31:13.919Z,1.192
2023-01-14T21:31:15.223Z,1.317
2023-01-14T21:31:16.532Z,1.317
2023-01-14T21:31:17.843Z,1.323
2023-01-14T21:31:19.160Z,1.325
2023-01-14T21:31:20.470Z,1.325
2023-01-14T21:31:21.643Z,1.185
2023-01-14T21:31:22.966Z,1.332
2023-01-14T21:31:24.146Z,1.191
2023-01-14T21:31:25.467Z,1.333
2023-01-14T21:31:26.642Z,1.188
2023-01-14T21:31:27.958Z,1.325
2023-01-14T21:31:29.138Z,1.191
2023-01-14T21:31:30.452Z,1.324
2023-01-14T21:31:31.760Z,1.322
2023-01-14T21:31:33.069Z,1.317
2023-01-14T21:31:34.256Z,1.198
2023-01-14T21:31:35.430Z,1.184
2023-01-14T21:31:36.610Z,1.191
2023-01-14T21:31:37.789Z,1.192
2023-01-14T21:31:38.969Z,1.192
2023-01-14T21:31:40.280Z,1.324
2023-01-14T21:31:41.597Z,1.329
2023-01-14T21:31:42.910Z,1.325
2023-01-14T21:31:44.084Z,1.185
2023-01-14T21:31:45.397Z,1.325
2023-01-14T21:31:46.707Z,1.324
2023-01-14T21:31:48.019Z,1.324
2023-01-14T21:31:49.331Z,1.325
2023-01-14T21:31:50.644Z,1.327
2023-01-14T21:31:51.954Z,1.323
2023-01-14T21:31:53.264Z,1.322
2023-01-14T21:31:54.577Z,1.326
2023-01-14T21:31:55.890Z,1.324
2023-01-14T21:31:57.198Z,1.321
2023-01-14T21:31:58.508Z,1.323
2023-01-14T21:31:59.820Z,1.324
2023-01-14T21:32:01.138Z,1.327
2023-01-14T21:32:02.449Z,1.323
2023-01-14T21:32:03.766Z,1.329
2023-01-14T21:32:05.074Z,1.32
2023-01-14T21:32:06.392Z,1.328
2023-01-14T21:32:07.698Z,1.318
2023-01-14T21:32:09.015Z,1.329
2023-01-14T21:32:10.327Z,1.324
2023-01-14T21:32:11.640Z,1.322
2023-01-14T21:32:12.958Z,1.329
2023-01-14T21:32:14.288Z,1.345
2023-01-14T21:32:15.596Z,1.323
2023-01-14T21:32:16.903Z,1.32
2023-01-14T21:32:18.215Z,1.322
2023-01-14T21:32:19.528Z,1.327
2023-01-14T21:32:20.846Z,1.328
2023-01-14T21:32:22.156Z,1.323
2023-01-14T21:32:23.471Z,1.328
2023-01-14T21:32:24.782Z,1.323
2023-01-14T21:32:26.094Z,1.324
2023-01-14T21:32:27.409Z,1.329
2023-01-14T21:32:28.718Z,1.321
2023-01-14T21:32:29.898Z,1.191
2023-01-14T21:32:31.213Z,1.327
2023-01-14T21:32:32.523Z,1.324
2023-01-14T21:32:33.836Z,1.325
2023-01-14T21:32:35.145Z,1.322
2023-01-14T21:32:36.454Z,1.321
2023-01-14T21:32:37.766Z,1.324
2023-01-14T21:32:39.077Z,1.321
2023-01-14T21:32:40.387Z,1.321
2023-01-14T21:32:41.693Z,1.319
2023-01-14T21:32:43.002Z,1.32
2023-01-14T21:32:44.316Z,1.325
2023-01-14T21:32:45.632Z,1.327
2023-01-14T21:32:46.940Z,1.322
2023-01-14T21:32:48.258Z,1.329
2023-01-14T21:32:49.565Z,1.32
2023-01-14T21:32:50.886Z,1.331
2023-01-14T21:32:52.199Z,1.328
2023-01-14T21:32:53.512Z,1.325
2023-01-14T21:32:54.824Z,1.323
2023-01-14T21:32:56.138Z,1.328
2023-01-14T21:32:57.453Z,1.329
2023-01-14T21:32:58.631Z,1.19
2023-01-14T21:32:59.940Z,1.322
2023-01-14T21:33:01.249Z,1.318
2023-01-14T21:33:02.561Z,1.327
2023-01-14T21:33:03.871Z,1.321
2023-01-14T21:33:05.179Z,1.321
2023-01-14T21:33:06.492Z,1.324
2023-01-14T21:33:07.808Z,1.326
2023-01-14T21:33:09.118Z,1.326
2023-01-14T21:33:10.429Z,1.323
2023-01-14T21:33:11.740Z,1.32
2023-01-14T21:33:13.059Z,1.33
2023-01-14T21:33:14.384Z,1.34
2023-01-14T21:33:15.701Z,1.329
2023-01-14T21:33:17.013Z,1.324
2023-01-14T21:33:18.325Z,1.324
2023-01-14T21:33:19.644Z,1.33
2023-01-14T21:33:20.825Z,1.191
2023-01-14T21:33:22.138Z,1.328
2023-01-14T21:33:23.445Z,1.316
2023-01-14T21:33:24.753Z,1.32
2023-01-14T21:33:26.064Z,1.324
2023-01-14T21:33:27.374Z,1.321
2023-01-14T21:33:28.686Z,1.325
2023-01-14T21:33:29.997Z,1.323
2023-01-14T21:33:31.307Z,1.324
2023-01-14T21:33:32.617Z,1.324
2023-01-14T21:33:33.929Z,1.324
2023-01-14T21:33:35.244Z,1.327
2023-01-14T21:33:36.554Z,1.324
2023-01-14T21:33:37.862Z,1.322
2023-01-14T21:33:39.175Z,1.325
2023-01-14T21:33:40.346Z,1.183
2023-01-14T21:33:41.528Z,1.191
2023-01-14T21:33:42.705Z,1.19
2023-01-14T21:33:43.885Z,1.192
2023-01-14T21:33:45.195Z,1.323
2023-01-14T21:33:46.507Z,1.325
2023-01-14T21:33:47.811Z,1.317
2023-01-14T21:33:49.118Z,1.318
2023-01-14T21:33:50.430Z,1.324
2023-01-14T21:33:51.744Z,1.325
2023-01-14T21:33:53.062Z,1.332
2023-01-14T21:33:54.372Z,1.32
2023-01-14T21:33:55.686Z,1.328
2023-01-14T21:33:56.996Z,1.321
2023-01-14T21:33:58.309Z,1.327
2023-01-14T21:33:59.626Z,1.331
2023-01-14T21:34:00.944Z,1.33
2023-01-14T21:34:02.253Z,1.322
2023-01-14T21:34:03.563Z,1.321
2023-01-14T21:34:04.869Z,1.317
2023-01-14T21:34:06.182Z,1.325
2023-01-14T21:34:07.493Z,1.321
2023-01-14T21:34:08.812Z,1.334
2023-01-14T21:34:10.121Z,1.32
2023-01-14T21:34:11.433Z,1.325
2023-01-14T21:34:12.752Z,1.331
2023-01-14T21:34:14.072Z,1.332
2023-01-14T21:34:15.391Z,1.332
2023-01-14T21:34:16.709Z,1.332
2023-01-14T21:34:18.017Z,1.321
2023-01-14T21:34:19.330Z,1.324
2023-01-14T21:34:20.640Z,1.324
2023-01-14T21:34:21.953Z,1.322
2023-01-14T21:34:23.267Z,1.326
2023-01-14T21:34:24.579Z,1.325
2023-01-14T21:34:25.896Z,1.329
2023-01-14T21:34:27.210Z,1.326
2023-01-14T21:34:28.392Z,1.196
2023-01-14T21:34:29.702Z,1.321
2023-01-14T21:34:31.014Z,1.325
2023-01-14T21:34:32.326Z,1.326
2023-01-14T21:34:33.641Z,1.328
2023-01-14T21:34:34.954Z,1.327
2023-01-14T21:34:36.263Z,1.32
2023-01-14T21:34:37.574Z,1.323
2023-01-14T21:34:38.820Z,1.258
2023-01-14T21:34:40.134Z,1.327
2023-01-14T21:34:41.442Z,1.321
2023-01-14T21:34:42.758Z,1.33
2023-01-14T21:34:44.010Z,1.265
2023-01-14T21:34:45.222Z,1.221
2023-01-14T21:34:46.436Z,1.226
2023-01-14T21:34:47.647Z,1.224
2023-01-14T21:34:48.858Z,1.222
2023-01-14T21:34:50.070Z,1.225
2023-01-14T21:34:51.382Z,1.325
2023-01-14T21:34:52.824Z,1.455
2023-01-14T21:34:54.166Z,1.355
2023-01-14T21:34:55.377Z,1.222
2023-01-14T21:34:56.585Z,1.221
2023-01-14T21:34:57.800Z,1.227
2023-01-14T21:34:59.112Z,1.323
2023-01-14T21:35:00.428Z,1.331
2023-01-14T21:35:01.767Z,1.348
2023-01-14T21:35:02.880Z,1.121
2023-01-14T21:35:04.089Z,1.22
2023-01-14T21:35:05.200Z,1.122
2023-01-14T21:35:06.409Z,1.22
2023-01-14T21:35:07.622Z,1.226
2023-01-14T21:35:08.750Z,1.143
2023-01-14T21:35:09.960Z,1.225
2023-01-14T21:35:11.174Z,1.227
2023-01-14T21:35:12.384Z,1.22
2023-01-14T21:35:13.589Z,1.217
2023-01-14T21:35:14.800Z,1.221
2023-01-14T21:35:16.008Z,1.221
2023-01-14T21:35:17.229Z,1.234
2023-01-14T21:35:18.441Z,1.224
2023-01-14T21:35:19.650Z,1.224
2023-01-14T21:35:20.865Z,1.225
2023-01-14T21:35:22.083Z,1.231
2023-01-14T21:35:23.292Z,1.22
2023-01-14T21:35:24.499Z,1.218
2023-01-14T21:35:25.718Z,1.231
2023-01-14T21:35:26.929Z,1.224
2023-01-14T21:35:28.137Z,1.22
2023-01-14T21:35:29.355Z,1.228
2023-01-14T21:35:30.672Z,1.329
2023-01-14T21:35:31.990Z,1.328
2023-01-14T21:35:33.240Z,1.263
2023-01-14T21:35:34.449Z,1.223
2023-01-14T21:35:35.624Z,1.189
